Science_ID,Science_Q,Science_A
1,Which branch of mathematics includes the functions cosine and tan?,Trigonometry
2,Which scientist (last name only) is credited for discovering gravity?,Newton
3,Which element has the symbol Fe?,Iron
4,What is electrical current measured in?,Amps
5,What is the name of the largest planet in the solar system?,Jupiter
6,In which human organ can you find the aorta?,Heart
7,What domestic animal has the scientific name Felis catus?,Cat
8,What is the name of the centre of the Earth?,Core
9,What element is mixed with oxygen to create water?,Hydrogen
10,Which statistical function returns the most common value in a set?,Mode
